fecha;propietario_mnemotecnico;propietario_nombre;balance_energia;balance_valorizado
2025-01-01;G0001;ANDINA SOLAR 1 SPA;1725462,0;19493843,0
2025-01-01;G0002;ARAUCO BIOENERGÍA SPA;42818366,0;2769612971,0
2025-01-01;G0003;GENERADORA ANTILHUE SPA;-123910,0;-14938734,0
2025-01-01;G0004;COLBÚN S.A.;-22754186,0;10658579874,0
2025-01-01;G0005;EMPRESA ELÉCTRICA CAPULLO S.A.;2899111,0;354099251,0
2025-01-01;G0010;AES ANDES S.A.;-351114852,0;-14475854286,0
2025-01-01;G0011;GUACOLDA ENERGÍA SPA;19838764,0;2774040793,0
2025-01-01;G0012;ASOC. DE CANAL. SOCIEDAD DEL CANAL DE MAIPO;12421661,0;631640163,0
2025-01-01;G0016;SOLAR TI DIECISIETE SPA;817585,0;9930006,0
2025-01-01;G0017;EMPRESA ELÉCTRICA PEHUENCHE S.A.;139369878,0;8515589449,0
2025-01-01;G0019;ELÉCTRICA PUNTILLA S.A.;13367643,0;588422519,0
2025-01-01;G0020;PARQUE SOLAR SALAMANCA SPA;480553,0;6171984,0
2025-01-01;G0021;ENEL GENERACIÓN CHILE S.A.;-1106683187,0;-42548567554,0
2025-01-01;G0022;CARBOMET ENERGÍA S.A.;6450443,0;278228768,0
2025-01-01;G0023;CIA MOLINERA VILLARRICA LTDA;147900,0;5783656,0
2025-01-01;G0024;PARQUE SOLAR CANTILLANA SPA;2707795,0;34484530,0
2025-01-01;G0026;ANDINA SOLAR 6 SPA;694096,0;8283815,0
2025-01-01;G0030;PACIFIC HYDRO CHILE S.A.;-41815,0;-1860017,0
2025-01-01;G0031;TECNORED S.A.;-6699427,0;-283025259,0
2025-01-01;G0032;ELÉCTRICA NUEVA ENERGÍA S.A.;254932,0;16471902,0
2025-01-01;G0033;GENERACIÓN DE ENERGÍA NUEVA DEGAN SPA;59205,0;40154560,0
2025-01-01;G0034;ENORCHILE S.A.;511065,0;23320985,0
2025-01-01;G0035;ELEKTRA GENERACIÓN S.A.;1277410,0;321946859,0
2025-01-01;G0040;HIDROELECTRICA PUCLARO S.A.;604969,0;28070381,0
