Time (Month)	Capacidad BESS Instalada : current	Capacidad de Transmisión : current	Capacidad ERNC Instalada : current	Costo Unitario Transmisión : current	Crecimiento Total de Demanda : current	Demanda del Sistema : current	Energía Vertida Acumulada : current	Expansión Minera e Industrial : current	Factor de Absorción BESS : current	Factor de Energía Generada : current	Factor de Vida Útil BESS : current	Factor Incentivo BESS : current	Generación Excedente : current	Incremento de Demanda : current	Líneas en Construcción : current	Presupuesto para Transmisión : current	Proporción Inversión Transmisión : current	Pérdida de Rentabilidad : current	Subsidio Estatal BESS : current	Tasa de Crecimiento Poblacional : current	Tasa de Degradación BESS : current	Tasa de Inicio de Obras : current	Tasa de Inversión BESS : current	Tasa de Puesta en Servicio : current	Tasa de Vertimiento : current	Tasa Expansión ERNC : current	Tiempo de Construcción : current	
0	1575	1800	18523	1.5e+06	0.0035	6395	5642	0.0025	0.12	0.72	0.0016	3	5141.56	22.3825	0	4.66687e+07	0.15	3.11125e+08	372.239	0.001	2.52	31.1125	417.239	0	4952.56	20.7684	48	
1	1989.72	1800	18543.8	1.5e+06	0.0035	6417.38	10594.6	0.0025	0.12	0.72	0.0016	3	5134.13	22.4608	31.1125	4.61298e+07	0.15	3.07532e+08	370.631	0.001	3.18355	30.7532	415.631	0.648177	4895.37	20.9772	48	
2	2402.17	1800.65	18564.7	1.5e+06	0.0035	6439.84	15489.9	0.0025	0.12	0.72	0.0016	3	5126.13	22.5395	61.2175	4.55879e+07	0.15	3.0392e+08	369.041	0.001	3.84347	30.392	414.041	1.27536	4837.87	21.1913	48	
3	2812.36	1801.92	18585.9	1.5e+06	0.0035	6462.38	20327.8	0.0025	0.12	0.72	0.0016	3	5117.57	22.6183	90.3341	4.50435e+07	0.15	3.0029e+08	367.469	0.001	4.49978	30.029	412.469	1.88196	4780.08	21.4108	48	
4	3220.33	1803.81	18607.3	1.5e+06	0.0035	6485	25107.9	0.0025	0.12	0.72	0.0016	3	5108.48	22.6975	118.481	4.44965e+07	0.15	2.96644e+08	365.919	0.001	5.15253	29.6644	410.919	2.46836	4722.04	21.6361	48	
5	3626.1	1806.27	18629	1.5e+06	0.0035	6507.7	29829.9	0.0025	0.12	0.72	0.0016	3	5098.9	22.7769	145.677	4.39474e+07	0.15	2.92982e+08	364.39	0.001	5.80176	29.2982	409.39	3.03494	4663.76	21.867	48	
6	4029.69	1809.31	18650.9	1.5e+06	0.0035	6530.48	34493.7	0.0025	0.12	0.72	0.0016	3	5088.83	22.8567	171.94	4.33961e+07	0.15	2.89307e+08	362.886	0.001	6.4475	28.9307	407.886	3.58209	4605.27	22.1038	48	
7	4431.13	1812.89	18673	1.5e+06	0.0035	6553.33	39099	0.0025	0.12	0.72	0.0016	3	5078.3	22.9367	197.289	4.2843e+07	0.15	2.8562e+08	361.409	0.001	7.0898	28.562	406.409	4.11019	4546.57	22.3467	48	
8	4830.45	1817	18695.3	1.5e+06	0.0035	6576.27	43645.5	0.0025	0.12	0.72	0.0016	3	5067.35	23.0169	221.741	4.22882e+07	0.15	2.81921e+08	359.959	0.001	7.72871	28.1921	404.959	4.6196	4487.69	22.5957	48	
9	5227.68	1821.62	18717.9	1.5e+06	0.0035	6599.29	48133.2	0.0025	0.12	0.72	0.0016	3	5055.98	23.0975	245.313	4.17319e+07	0.15	2.78213e+08	358.539	0.001	8.36428	27.8213	403.539	5.1107	4428.66	22.851	48	
